"Estimate","Std_Error","Z_value","P_value"
0.106865799588628,0.0344539149396706,3.10170265921164,0.00192411118015268
0.451559694940984,0.0432357431018946,10.4441293833388,0
0.432317776364994,0.0521495094641715,8.28996822418841,2.22044604925031e-16
0.128800573668813,0.0418150114451092,3.08024724178038,0.0020682882350942
0.557878171484429,0.133484193891959,4.17935753454053,2.92333783755705e-05
0.00287557374453166,0.00368758016508146,0.779799656089143,0.435508808826386
-0.0346148457479002,0.0262179028248226,-1.32027515622369,0.186743167137513
0.0989304126213084,0.049242113004835,2.00906107769166,0.0445306567612194
0.0203324915416905,0.0354557725482105,0.573460682997208,0.566332812794369
-0.194466949946856,0.0705231926223758,-2.75748931260317,0.0058247117336454
-0.0405708739957394,0.0515555219295833,-0.786935569213184,0.431319584297083
5.52439417775766,0.665667820942756,8.29902543574016,0
8.80749485481236,0.70887300076635,12.4246442526246,0
