"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.384615384616286,0.1176695963106,-8.1202916894771,4.65064568950536e-16,0.304110531121782,0.482603075898085
"treatment_legaltrust",2.81040462427092,0.158031877479187,6.53873436084446,6.20416068293576e-11,2.06621101158927,3.84037294072162
